date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20180519,-2.61E-05,-0.004317165,0.002058115,-0.004402576,0.001153935,0.000939101,0.001855288,0.002142277
20180520,-2.61E-05,-0.004317165,0.002058115,-0.004402576,0.001153935,0.000939101,0.001855288,0.002142277
20180521,0.002832525,-0.001911686,0.003817041,-0.002159709,0.001328707,0.001538948,0.002425546,0.002780625
20180522,0.002832525,-0.001911686,0.003817041,-0.002159709,0.001328707,0.001538948,0.002425546,0.002780625
20180523,0.004318863,0.000744281,0.006004806,0.000626253,0.000571861,0.001142066,0.001991267,0.002412934
20180524,0.001418077,-0.001480552,0.003505066,-0.001498217,0.001935395,0.003134941,0.004068363,0.004567827
20180525,-0.00169897,-0.003522754,0.001363558,-0.003449686,0.00116972,0.002860042,0.003841749,0.004407953
20180526,-0.00169897,-0.003522754,0.001363558,-0.003449686,0.00116972,0.002860042,0.003841749,0.004407953
20180527,-0.00169897,-0.003522754,0.001363558,-0.003449686,0.00116972,0.002860042,0.003841749,0.004407953
20180528,0.004176356,0.003218517,0.0085972,0.004023905,0.000267008,0.002146997,0.003228202,0.003845039
20180529,-0.003946511,-0.005197179,-0.000438377,-0.004582058,0.000230118,0.002241243,0.003386481,0.004073335
20180530,-0.01848916,-0.023070087,-0.020098966,-0.023893799,0.000404817,0.002778194,0.003959454,0.004722462
20180531,-0.009322065,-0.015557016,-0.014732727,-0.018055564,0.000551978,0.002867707,0.004082895,0.004955012
20180601,-0.001016625,-0.00773323,-0.008432144,-0.011382347,0.000367951,0.00261371,0.003889398,0.004862998
20180602,-0.001016625,-0.00773323,-0.008432144,-0.011382347,0.000367951,0.00261371,0.003889398,0.004862998
20180603,-0.001016625,-0.00773323,-0.008432144,-0.011382347,0.000367951,0.00261371,0.003889398,0.004862998
20180604,0.005156865,-0.003352405,-0.005164129,-0.007606259,-0.000459918,0.001689224,0.002972814,0.004083773
20180605,0.007909622,-0.00075439,-0.002865247,-0.005104405,-0.000643915,0.001294937,0.002622532,0.003857406
20180606,0.007909622,-0.00075439,-0.002865247,-0.005104405,-0.000643915,0.001294937,0.002622532,0.003857406
20180607,0.009713065,0.005669945,0.00389425,0.001686312,-0.004964585,-0.004267556,-0.00302777,-0.001759911
20180608,-0.000386519,-0.002218502,-0.003606623,-0.005975446,-0.002591032,-0.002942688,-0.001781818,-0.000465101
20180609,-0.000386519,-0.002218502,-0.003606623,-0.005975446,-0.002591032,-0.002942688,-0.001781818,-0.000465101
20180610,-0.000386519,-0.002218502,-0.003606623,-0.005975446,-0.002591032,-0.002942688,-0.001781818,-0.000465101
20180611,0.004629919,0.005216798,0.004106246,0.001558463,-0.00185551,-0.003254116,-0.002232385,-0.000875533
20180612,0.002375191,0.004861261,0.003687041,0.000996837,-0.000341858,-0.00254216,-0.001628657,-0.000222542
20180613,0.002375191,0.004861261,0.003687041,0.000996837,-0.000341858,-0.00254216,-0.001628657,-0.000222542
20180614,-0.01361216,-0.012539457,-0.014289575,-0.017201027,-7.40E-05,-0.003166964,-0.002336064,-0.000898655
20180615,-0.016195661,-0.019371562,-0.021599992,-0.024868897,0.000499233,-0.002221997,-0.00145095,4.00E-05
20180616,-0.016195661,-0.019371562,-0.021599992,-0.024868897,0.000499233,-0.002221997,-0.00145095,4.00E-05
20180617,-0.016195661,-0.019371562,-0.021599992,-0.024868897,0.000499233,-0.002221997,-0.00145095,4.00E-05
20180618,-0.021538799,-0.029056319,-0.032265626,-0.035800286,0.000998225,-0.001493611,-0.000761961,0.000774299
20180619,-0.02598497,-0.041698056,-0.04603814,-0.050005191,0.001671994,-0.0002835,0.000415167,0.002007526
20180620,-0.007409481,-0.030030441,-0.035542706,-0.039971123,0.000895718,-0.000670737,-5.77E-05,0.001575887
20180621,-0.011248374,-0.038211029,-0.045155982,-0.050130139,0.000692169,-0.000260469,0.000250608,0.001936634
20180622,0.000916307,-0.027940712,-0.036846167,-0.042016428,0.00074717,0.000288128,0.000770249,0.002468286
20180623,0.000916307,-0.027940712,-0.036846167,-0.042016428,0.00074717,0.000288128,0.000770249,0.002468286
20180624,0.000916307,-0.027940712,-0.036846167,-0.042016428,0.00074717,0.000288128,0.000770249,0.002468286
20180625,0.002760024,-0.025495914,-0.036056626,-0.041479904,0.000470267,0.000479492,0.000818642,0.002529423
20180626,-0.001118323,-0.026161191,-0.038239203,-0.044061774,-5.53E-05,8.99E-05,0.000267488,0.002000783
20180627,-0.003041895,-0.027084456,-0.041371065,-0.047371111,0.000543874,0.001012171,0.001106807,0.002846125
20180628,-0.012889107,-0.035764676,-0.051956081,-0.058185574,0.000672737,0.001464129,0.001468747,0.003232546
20180629,-0.005179134,-0.029134,-0.046305754,-0.052853679,0.00042385,0.00144579,0.001328803,0.003109261
20180630,-0.005179134,-0.029134,-0.046305754,-0.052853679,0.00042385,0.00144579,0.001328803,0.003109261
20180701,-0.005179134,-0.029134,-0.046305754,-0.052853679,0.00042385,0.00144579,0.001328803,0.003109261
20180702,-0.021297945,-0.048912008,-0.067587321,-0.074406754,0.000506679,0.001794107,0.001556984,0.003355141
20180703,-0.014132397,-0.04507868,-0.066002408,-0.073300129,0.000285493,0.001948733,0.001608408,0.003418172
20180704,-0.010727396,-0.044486483,-0.068092192,-0.075547731,0.000626082,0.002541407,0.002166227,0.003986198
20180705,-0.009276364,-0.043866375,-0.070198729,-0.077973669,0.000929642,0.003092434,0.002725541,0.004543749
20180706,0.002131396,-0.033330682,-0.062880885,-0.07096614,0.0006165,0.002761756,0.002688558,0.004501606
20180707,0.002131396,-0.033330682,-0.062880885,-0.07096614,0.0006165,0.002761756,0.002688558,0.004501606
20180708,0.002131396,-0.033330682,-0.062880885,-0.07096614,0.0006165,0.002761756,0.002688558,0.004501606
20180709,0.006566599,-0.024392097,-0.056523604,-0.064999644,2.76E-05,0.002101925,0.002239749,0.004030284
20180710,0.008347469,-0.017132613,-0.052051938,-0.060959884,-5.52E-05,0.001923941,0.002298066,0.004074734
20180711,0.001062272,-0.018978206,-0.05658368,-0.065814317,0.001287238,0.003349104,0.003985827,0.005768081
20180712,0.000594652,-0.01413331,-0.053718503,-0.06329645,0.00056077,0.002463791,0.003384101,0.00513774
20180713,0.008550529,-0.000977708,-0.042064595,-0.052021278,-0.000165467,0.001521643,0.002659562,0.004385597
20180714,0.008550529,-0.000977708,-0.042064595,-0.052021278,-0.000165467,0.001521643,0.002659562,0.004385597
20180715,0.008550529,-0.000977708,-0.042064595,-0.052021278,-0.000165467,0.001521643,0.002659562,0.004385597
20180716,0.003244212,-0.003229779,-0.044731748,-0.054986783,-0.000358476,0.001219821,0.00253811,0.004234906
20180717,0.001142302,-0.004082437,-0.045391754,-0.055953934,0.00018379,0.001815584,0.003261553,0.004965657
20180718,-0.003084582,-0.005877366,-0.047383815,-0.058420512,0.000257336,0.001564441,0.003161523,0.004866526
20180719,-0.006249103,-0.008076266,-0.049293397,-0.060928465,0.000487079,0.001640034,0.00336945,0.005080489
20180720,-0.001356742,-0.003604422,-0.045178638,-0.057289702,0.000523714,0.001729419,0.003572723,0.005297131
20180721,-0.001356742,-0.003604422,-0.045178638,-0.057289702,0.000523714,0.001729419,0.003572723,0.005297131
20180722,-0.001356742,-0.003604422,-0.045178638,-0.057289702,0.000523714,0.001729419,0.003572723,0.005297131
20180723,-0.007198449,-0.010349763,-0.052121042,-0.064613931,0.000266383,0.001547457,0.003486408,0.005229851
20180724,-0.000885133,-0.004064874,-0.046351232,-0.059213845,-0.000532804,0.000510371,0.002550145,0.004298036
20180725,-0.002533774,-0.005698231,-0.048183673,-0.061198145,-0.000174538,0.000740165,0.002834793,0.004600805
20180726,0.003904138,0.001865613,-0.040221427,-0.053570487,0.000569471,0.001452513,0.00362303,0.005396076
20180727,0.005993015,0.005145965,-0.036405762,-0.050226156,-0.000202091,0.000457302,0.002695443,0.004438176
20180728,0.005993015,0.005145965,-0.036405762,-0.050226156,-0.000202091,0.000457302,0.002695443,0.004438176
20180729,0.005993015,0.005145965,-0.036405762,-0.050226156,-0.000202091,0.000457302,0.002695443,0.004438176
20180730,0.003215877,0.004014726,-0.035529719,-0.049944327,-0.000872921,-0.000567572,0.001685059,0.003401655
20180731,0.002660349,0.004286218,-0.033368722,-0.048321643,-0.000275659,-5.51E-05,0.002222299,0.003931218
20180801,0.004831075,0.008535593,-0.027164671,-0.042702732,-0.000275685,-0.000197589,0.00206403,0.003764849
