날짜,시간,index,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221129,1202,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1201,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1200,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1159,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1158,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1157,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1156,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1155,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1154,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1153,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1152,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1151,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1150,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1149,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1148,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1147,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1146,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1145,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1144,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1143,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1142,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1141,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1140,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1139,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1138,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1137,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1136,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1135,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1134,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1133,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1132,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1131,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1130,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1129,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1128,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1127,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1126,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1125,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1124,,,,,,,,,,,,,,,,,,,,,,,,,
